Field1,Field2
Melbourne Creative,"This is what happens when cummins & partners go into pitches with one very important point of difference: price…
Hence the pitch wins. Hense the shit quality productions."
First to the carpark,"If this was a game I would have left early to beat the rush.
A very tough thing to watch.
And no, I’m not on any big-agency cheersquad – just someone who works at a small place who would have loved a crack at this."
d,"While yes, I think this ad has a sense of insincerity and fake, cliché crescendo, it’s probably getting more bagged than it should because Cummins hasn’t really put a foot wrong yet until now. The agency has set a high bar. Emperors Clothes syndrome. Take the negativity as a compliment to all the other great work you guys are doing. You guys will get your mojo back."
Who,I think the client art directed this. And co-wrote it. And liked it.
Yawn,A really nicely crafted ad with a bit of an idea. What we see versus what we hear doesn’t marry up at all. May as well be two separate ads.
Cummins or AJF?,"Honestly, exactly what I expected!"
frankfrancione1@gmail.com,"I love my football,But this as has upset me,Dont go quietly Make a noise Do something
should I envisage Scenes of England football Watching the game played behind a cyclone fence unable to enjoy the game because of people who are going to the game just to make a noise!Do something? are you trying to incite a riot ?
Noise – Wikipedia, the free encyclopedia
en.wikipedia.org/wiki/Noise
Noise means any unwanted sound. Noise is not necessarily random. Sounds, particularly loud ones, that disturb people or make it difficult to hear wanted …
‎Noise (disambiguation) – ‎Noise music – ‎Background noise – ‎Noise pollution
Make a noise make a noise make a noise ,make a noise make a noise make a noise ,make a noise make a noise make a noise make a noise make a noise say this to yourself and I’m sure my message and common sense will fall into perspective,
NOISE definition wikipedia;means any unwanted sound
Hello AFL is anyone there on the ball,"
Jezza,If my team played like this in the finals they’d lose by a hundred points. And if they were an EPL team they’d be relegated.
Malcolm,Everybody does shit stuff sometimes. Shame the account had to move for it though.
Tom G,"Wow.. Unsurprisingly that really stinks and less surprisingly a cummins representative  posts that the overwhelmingly negative reception on this site has been posted by the previous incumbent agency. Maybe just maybe, it’s because the work is really SHIT"
Forciblyfreelance,"I’d just like to thank you CB for providing a forum for cowards like us to tell it like it is. When you don’t have to disclose your identity, you can really let fly like the big dicked champion you are, without the fallout or ridicule that might occur if you did. So here’s to us! Anonymous Ad legends! Let’s take em’ all down, one tough arsed comment at a time, from the safety of this toilet cubicle."
R,I liked it!
gezza,I watch lots of footy and had no idea what this campaign was about and where the ad has been aired? Had to look it up. And then I had to laugh as less than 40% of the crowd on Grand Final day will be club members. Want to make some noise? Seat club members together and let them actually attend rather than the bullshit corporates who couldn’t give a toss who wins as long as the food and wine is good in the box. Seriously is this campaign a sick joke?
