Field1,Field2
educate yo'self,"@C & @ psuedonym perhaps you missed reading the bit about the integrated campaign including…
‘The Nova Network’s Fitzy & Wippa show… the hosts are showing their commitment to the Operation Boomerang theme by airing from London throughout the first week, and seeking out overseas Australians to be flown home for Australia Day and a lamb BBQ.’
Well done Monkeys and everyone who worked on it! You have set the bar high for the year ahead."
pseudonym,@educate yo’self: Meh!
Monkey see monkey do,"This is a bad ripp off of 72 and Sunny’s extraction ad.
Look it up – it’s way more entertaining than this"
Flaming hell,"Look, I’m vegan and can usually take a gentle joke at my expense but flaming the vegan’s Brooklyn apartment was going a bit far one would have thought?"
Great work,https://vimeo.com/84736058
@Great work,ugh…   must we do this in every comment section…
@ Flaming hell,No
vegans,"@flaming hell
I think he’s torching a salad by the look of it"
@5:11pm,"Ughh indeed. It’s not every comments section. This is a direct lift from a previous campaign that was well known in the industry.
If the monkeys had done this say once or twice you could call it ‘coincidence’. But the monkeys seem to do it an awful lot.
Just off the top of my head;
Ship song, welcome to the jungle / there will be stories, sun sound…
Anyone else care to add here?
Everyone else can come up with their own ideas, why can’t the monkeys?"
Dear MLA,Give it back to BMF
COD piece,"The biggest shame about this is they have a great Aussie brand, seemingly decent budget, massive celebrity pulling power and a client who in his words is really keen on ‘brave creativity’.
And for whatever reason the director and agency have decided to do an almost shot-for-shot poor man’s version of CODNapped.
http://www.businessinsider.com/call-of-dutys-codnapped-2014-1?IR=T
Good clients deserve better work than that."
The Force,"Forced “Aussie” humour.
Really cheesy ad.
However, it’s great the agency likes it so much!"
CODFISH,"@codpiece
They both couldn’t have possibly borrowed from a few decades of action films could they? Some of us watch things other than commercials."
New AD Guy,Loved the torching of the vegan belongings. nice work dudes.
Nauru,Was that militant Australian forces actually rushing people back into and over the country’s borders to eat meat on a day that commemorates indigenous genocide ? Really ? Wow … just … wow.
@CODFISH,"That’s interesting mate, are you enjoying working there?
It’s not like it’s the first time the monkeys have ripped something almost scene for scene. Sure, this uses celebrities and different scenarios, but it’s identical in structure.
Set up with a VO, show a few vignettes, then out.
Identical."
@CODFISH,"Music is amazingly similar too.
If you’re going to copy either make it subtle (steal) or super obvious (parody). Otherwise you just look like a monkey."
phuck you,"99% of Australian’s have never seen the inside of an abattoir , if they did they wouldn’t be eating this shit"
overcooked lamb,Bit of a rip off but the first 5 seconds was great.
@codpiece,"I agree, neither are an original idea. You have to admit it’s not the first time a faux-military mission theme has been used in advertising.
Both suffer from the same generic structure (briefing/montage/conclusion) but then again it is short form so I’m not sure what the alternative would be."
Old CD Guy,Oh stop your petty quibbling. It’s pathetic (the quibbling). The ad?…it’s pretty good I guess.
